endpoint,field,meaning,source_interface,point_in_time_status,known_risk
trade_cal,exchange,Exchange code.,trade_cal,Calendar data; no market-return future information when only used for date alignment.,"Future known exchange holidays are fine for scheduling, but labels must not use future prices."
trade_cal,cal_date,Calendar date.,trade_cal,Calendar data; no market-return future information when only used for date alignment.,"Future known exchange holidays are fine for scheduling, but labels must not use future prices."
trade_cal,is_open,Whether the exchange was open.,trade_cal,Calendar data; no market-return future information when only used for date alignment.,"Future known exchange holidays are fine for scheduling, but labels must not use future prices."
trade_cal,pretrade_date,Previous trading date.,trade_cal,Calendar data; no market-return future information when only used for date alignment.,"Future known exchange holidays are fine for scheduling, but labels must not use future prices."
stock_basic,ts_code,Tushare security code.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,symbol,Ticker symbol.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,name,Current security name in stock_basic snapshot.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,area,Listed company area.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,industry,Current industry field in stock_basic snapshot.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,market,Market board.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,exchange,Exchange.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,list_status,Listing status.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,list_date,Listing date.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
stock_basic,delist_date,Delisting date.,stock_basic,"Partially point-in-time: list/delist dates are historical, but name/industry fields are current snapshot.",Current industry/name can leak future classification; industry should be treated as non-point-in-time until validated.
namechange,ts_code,Tushare security code.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
namechange,name,Historical name during interval.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
namechange,start_date,Name-change effective start date.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
namechange,end_date,Name-change effective end date.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
namechange,ann_date,Announcement date if available.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
namechange,change_reason,Reason for name change.,namechange,Interval data with start/end/announcement dates; can be converted to daily flags.,ST derived from name text is only a proxy; announcement timing and exchange status should be validated before training.
daily,ts_code,Tushare security code.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,trade_date,Trading date.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,open,Daily open price.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,high,Daily high price.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,low,Daily low price.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,close,Daily close price.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,pre_close,Previous close price.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,change,Daily price change.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,pct_chg,Daily percent change.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,vol,Daily volume.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
daily,amount,Daily transaction amount.,daily,T-day market data; usable after T close for T+1 swing research.,Not usable for pre-close intraday decisions; raw prices must be joined with adj_factor for adjusted-return labels.
adj_factor,ts_code,Tushare security code.,adj_factor,Factor observed for the trade_date; usable for historical adjusted labels after T close.,Adjustment factor revisions can create back-adjusted history; raw/adjusted return gap must be audited.
adj_factor,trade_date,Trading date.,adj_factor,Factor observed for the trade_date; usable for historical adjusted labels after T close.,Adjustment factor revisions can create back-adjusted history; raw/adjusted return gap must be audited.
adj_factor,adj_factor,Daily adjustment factor.,adj_factor,Factor observed for the trade_date; usable for historical adjusted labels after T close.,Adjustment factor revisions can create back-adjusted history; raw/adjusted return gap must be audited.
daily_basic,ts_code,Tushare security code.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,trade_date,Trading date.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,close,Daily close in daily_basic endpoint.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,turnover_rate,Turnover rate.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,turnover_rate_f,Free-float turnover rate.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,volume_ratio,Volume ratio.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,pe,PE ratio.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,pe_ttm,Trailing PE ratio.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,pb,PB ratio.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,total_share,Total shares.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,float_share,Float shares.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,free_share,Free-float shares.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,total_mv,Total market value.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
daily_basic,circ_mv,Circulating market value.,daily_basic,T-day daily fundamentals snapshot; usable after T close for T+1 swing research.,Field availability is lower than daily OHLCV; valuation fields may be missing or stale for some stocks.
suspend_d,ts_code,Tushare security code.,suspend_d,Trade-date keyed event data; usable after provider publishes the record.,"Empty files mean no returned rows, not necessarily a full trading-state ledger for every stock."
suspend_d,trade_date,Trading date.,suspend_d,Trade-date keyed event data; usable after provider publishes the record.,"Empty files mean no returned rows, not necessarily a full trading-state ledger for every stock."
suspend_d,suspend_timing,Suspension timing.,suspend_d,Trade-date keyed event data; usable after provider publishes the record.,"Empty files mean no returned rows, not necessarily a full trading-state ledger for every stock."
suspend_d,suspend_type,Suspension type.,suspend_d,Trade-date keyed event data; usable after provider publishes the record.,"Empty files mean no returned rows, not necessarily a full trading-state ledger for every stock."
stk_limit,trade_date,Trading date.,stk_limit,Trade-date keyed limit price data; usable after T close for execution-risk audit.,Limit prices can be missing for a small share of rows; board-specific rules still need validation.
stk_limit,ts_code,Tushare security code.,stk_limit,Trade-date keyed limit price data; usable after T close for execution-risk audit.,Limit prices can be missing for a small share of rows; board-specific rules still need validation.
stk_limit,up_limit,Daily limit-up price.,stk_limit,Trade-date keyed limit price data; usable after T close for execution-risk audit.,Limit prices can be missing for a small share of rows; board-specific rules still need validation.
stk_limit,down_limit,Daily limit-down price.,stk_limit,Trade-date keyed limit price data; usable after T close for execution-risk audit.,Limit prices can be missing for a small share of rows; board-specific rules still need validation.
